"","ZEB","NRF2","miR34","KEAP1","Ecadherin","miR200","SNAIL"
"KEAP1",-0.199456067631443,0.152044893489053,-0.07332211809628,-0.316105543179879,0.207838594195788,0.311639523762404,0.299613235899963
"SNAIL",-0.194630386579555,0.243270619041363,-0.0720727674280586,-0.302507103671079,0.19987254148614,0.300120468826211,0.190264906913977
"ZEB",-0.0867158582581534,-0.081655907779351,-0.0671324578030774,-0.0474103779357047,0.00686288329835555,0.0601087906341174,0.211542293238009
"miR200",0.0227364659017136,0.144013685130436,0.0867287831424218,0.0127730142346648,-0.0013429428398883,-0.0974504335895035,-0.232557690771263
"Ecadherin",0.0543524607189203,0.0976066293212165,0.151511406225223,0.113478556241936,-0.0404472511615369,-0.101050996679798,-0.3112870244517
"NRF2",0.19987254148614,-0.250172234313023,0.0749963951130228,0.311639523762404,-0.199456067631443,-0.302507103671079,-0.292140523893246
"miR34",0.19987254148614,-0.250172234313023,0.0749963951130228,0.311639523762404,-0.199456067631443,-0.302507103671079,-0.292140523893246
