"","Ecadherin","miR200","SNAIL","NRF2","miR34","KEAP1","ZEB"
"miR200",0.515155178412485,0.437177549515959,-0.0985892579162686,-0.0862836937456227,-0.358163968322656,-0.520242065644991,-0.526538887931622
"Ecadherin",0.485498311212597,0.325799478812627,-0.0166877400005239,-0.291402050258115,-0.347051003351968,-0.310796259237611,-0.495643238748829
"SNAIL",0.11382778804275,0.00958527827056377,-0.093773641452897,-0.0645509118781004,-0.112352744467043,-0.00576666251877379,-0.114063594318825
"miR34",0.110264622841454,0.00576666251877379,0.00382425259119644,-0.0670472408061474,-0.11157708814246,-0.00683211152942828,-0.11382778804275
"KEAP1",0.110146559087027,0.00683211152942828,0.00810636846021407,-0.159931135937234,-0.110359432130284,-3.59950245739149e-05,-0.110264622841454
"NRF2",-0.110264622841454,-0.00576666251877379,-0.00382425259119644,0.0670472408061474,0.11157708814246,0.00683211152942828,0.11382778804275
"ZEB",-0.588092897603688,-0.496455800515975,0.129023977518611,0.216428935772703,0.427215991716234,0.486478476252937,0.502175139735551
