"","SNAIL","Ecadherin","KEAP1","ZEB","miR200","NRF2","miR34"
"SNAIL",0.447402083371986,0.124592767984505,0.20696570618432,-0.121491008506907,-0.205951386375251,0.0266117168150711,-0.342888368576208
"miR200",0.311870929784225,0.107962934336225,-0.0483877699001572,-0.101976673295989,-0.0493541655837137,-0.236438457199879,-0.179037767112269
"Ecadherin",0.423646407168375,0.10191649620221,0.0466889818597557,-0.0935733704677804,-0.0426323173394723,-0.216281515611709,-0.279048297605053
"ZEB",-0.269746000758134,-0.0812314020577488,-0.0139711483771358,-0.0104754667683481,0.0213785557845432,0.142219956391013,0.143538913619376
"KEAP1",-0.535232993546435,-0.124038234385506,-0.20162782141832,0.118253110418564,0.200268598117349,0.0738502607790156,0.336489499049212
"NRF2",-0.543881188340725,-0.118253110418564,-0.200268598117349,0.124592767984505,0.20696570618432,-0.0235280163745425,0.335728464041602
"miR34",-0.543881188340725,-0.118253110418564,-0.200268598117349,0.124592767984505,0.20696570618432,-0.0235280163745425,0.335728464041602
