"","SNAIL","ZEB","miR200","Ecadherin","NRF2","miR34","KEAP1"
"ZEB",-0.0750933259892509,-0.0726049714005206,-0.0375891663854076,-0.0264990947607475,0.0305144072283938,0.0375891663854076,0.0381182669145081
"KEAP1",0.0579302432121262,-0.0422728493506794,0.0953602512368011,0.0433354231405259,-0.0640067618517554,-0.0953602512368011,-0.0928359793921409
"SNAIL",-0.0422501157320114,-0.0422032817567554,0.0948768396203918,0.0428744226963527,0.0323650641146852,-0.0948768396203918,-0.095055837233757
"Ecadherin",0.113135111733043,-0.0261507582004476,0.123263950308768,0.0273650159364445,-0.109080144771883,-0.123263950308768,-0.122555643805226
"miR200",-0.0684347088922152,0.0333670295425037,-0.0490309954970163,-0.0338577066769492,0.130058694830268,0.0490309954970163,-0.0495173915997579
"NRF2",-0.0563349451432765,0.0428744226963527,-0.095055837233757,-0.0422728493506794,-0.0307497924553607,0.095055837233757,0.0953602512368011
"miR34",-0.0563349451432765,0.0428744226963527,-0.095055837233757,-0.0422728493506794,-0.0307497924553607,0.095055837233757,0.0953602512368011
