"","ZEB","miR34","KEAP1","Ecadherin","miR200","NRF2","SNAIL"
"KEAP1",-0.176238493697098,-0.121377459394958,-0.31777167753525,0.176356557451526,0.317965852292532,-0.0621832612188838,0.386004515818993
"SNAIL",-0.175936418580045,-0.121046254780071,-0.317661438289488,0.176099669078866,0.317303443062758,0.0383381134944426,0.284821076019178
"ZEB",-0.0963922500354367,-0.0300775761698257,-0.0202722066275227,-0.00340099600177907,0.0202722066275227,0.0401182139070379,0.0982825314296103
"Ecadherin",-0.0453486365908726,-0.12904844542879,-0.0868608695368557,0.0450744493601637,0.0870540440378216,-0.0611624158871335,0.269106360945885
"miR200",0.0189382506577884,0.0480309072023519,-0.0261776108507905,-0.0184475735233429,-0.0743062601169514,0.0527409618018755,-0.157295852210634
"NRF2",0.176099669078866,0.121225252393436,0.317965852292532,-0.176238493697098,-0.317661438289488,-0.0381912706163222,-0.385248848312695
"miR34",0.176099669078866,0.121225252393436,0.317965852292532,-0.176238493697098,-0.317661438289488,-0.0381912706163222,-0.385248848312695
