"","ZEB","NRF2","miR200","miR34","Ecadherin","KEAP1","SNAIL"
"ZEB",-0.100192099277572,-0.0618079529493615,-0.0199066041853718,-0.0119707383480275,-0.00173126766718882,0.0196798468157573,0.0739056358521439
"SNAIL",-0.0353473211172172,0.0549186074988101,-0.0842464191372331,-0.0530443342729286,-0.0379774680426661,0.0851414072040589,-0.0601132575631425
"miR200",0.000743688711019934,-0.0305399366566879,-0.00209668692274723,-0.00124052452107236,0.00113623041857636,-0.0967742808191883,0.00315316048441414
"Ecadherin",0.00085640834088039,-0.00884522681345026,-0.0805108061520657,0.0227891886810975,-0.00239466882324025,0.0814766786568951,0.0396833291447178
"KEAP1",0.034229203350394,0.0482327396608526,0.0845325791979706,0.0497920448108114,0.0407227098439005,-0.0843384044406891,-0.0429216795225852
"NRF2",0.0379774680426661,-0.0588833652080612,0.0851414072040589,0.0587722579006135,0.034229203350394,-0.0845325791979706,-0.0336017802782527
"miR34",0.0379774680426661,-0.0588833652080612,0.0851414072040589,0.0587722579006135,0.034229203350394,-0.0845325791979706,-0.0336017802782527
