"","ZEB","miR34","Ecadherin","miR200","KEAP1","SNAIL","NRF2"
"SNAIL",-0.0961726521051507,-0.210580432404624,0.0968800709333749,-0.310660942268198,0.306842326516408,0.407934921386999,-0.176168756292941
"KEAP1",-0.0944275026779376,-0.204140241764447,0.0961984589943485,-0.3033415654814,0.295380400432857,0.49561597449757,-0.26826728951408
"ZEB",-0.0842812051457557,-0.0284880342720931,-0.0140877358145016,-0.00504255344084763,0.00398435238264657,0.0759877006621537,0.089152711868021
"Ecadherin",-0.0352951966616563,-0.0146203526903167,0.037606203320489,-0.165605522119629,0.161935206601278,0.218178033626177,-0.247832367792778
"miR200",-0.00280812437241764,0.0614564068152467,0.00585032260597996,0.0569337804789726,-0.157095070801553,-0.153735385617075,0.0375980364812852
"NRF2",0.0968800709333749,0.209924107822286,-0.0944275026779376,0.306842326516408,-0.3033415654814,-0.501913203716713,0.174259798877376
"miR34",0.0968800709333749,0.209924107822286,-0.0944275026779376,0.306842326516408,-0.3033415654814,-0.501913203716713,0.174259798877376
