"","ZEB","SNAIL","miR200","Ecadherin","miR34","NRF2","KEAP1"
"SNAIL",-0.0718836057773789,-0.0731043721557024,0.0919593294524889,0.0715752437240504,-0.0256311404100963,0.0137518386337329,-0.0914223366123934
"miR34",-0.0715752437240504,0.0277840779923727,0.0914223366123934,0.0715289688513063,-0.0251538134411226,0.0133113099993716,-0.0920311646184817
"KEAP1",-0.0715289688513063,0.0263567060360335,0.0920311646184817,0.0725915426411528,-0.0243927784335122,-0.0866886900006284,-0.0926136888903264
"ZEB",-0.0687366633502397,-0.0660445392250421,-0.0374490823852451,-0.0315160359376078,-0.0101910042332309,0.0335090821225507,0.0376002539649881
"miR200",-0.0218479600847051,-0.00392664734538617,0.0111366750626454,0.0217498246578159,0.014008306193861,0.0618349107181594,-0.110814094417484
"Ecadherin",0.00827502016943011,0.0281880146887591,-0.0285696670960203,-0.00760913689485118,-0.0811908581077698,-0.0737662771189036,0.0277325775918348
"NRF2",0.0715752437240504,-0.0277840779923727,-0.0914223366123934,-0.0715289688513063,0.0251538134411226,-0.0133113099993716,0.0920311646184817
