"","miR34","miR200","Ecadherin","NRF2","ZEB","KEAP1","SNAIL"
"NRF2",0.134496473989923,0.134496473989923,0.100785334546046,-0.00365087108398181,-0.110456782949563,-0.143020066075159,-0.0750547259405315
"miR34",0.134496473989923,0.134496473989923,0.100785334546046,-0.00365087108398181,-0.110456782949563,-0.143020066075159,-0.0750547259405315
"KEAP1",0.143020066075159,0.143020066075159,0.112945901252067,0.0813678555077785,-0.100785334546046,-0.131563755395548,-0.0726197973091293
"Ecadherin",0.175150772373185,0.175150772373185,0.0944113822685251,0.122466015911537,-0.0811328863813336,-0.161306599803964,-0.128945525554679
"miR200",0.0455886682269973,0.0455886682269973,0.0726811292727775,-0.0469824535306769,-0.0583533569469679,-0.131072539194739,-0.00464833426820351
"ZEB",-0.0771873018881343,-0.0771873018881343,-0.0712998225466235,-0.062483186235859,-0.017925998726062,0.0879960698397594,0.0945920296014525
"SNAIL",-0.141596712653408,-0.141596712653408,-0.110456782949563,0.0155451442117351,0.103291899945754,0.134496473989923,-0.0269525132828973
