"","SNAIL","KEAP1","ZEB","Ecadherin","miR34","miR200","NRF2"
"SNAIL",0.513911308326891,0.346014837855224,-0.106373391801933,0.105412027753321,-0.351384766256179,-0.351384766256179,-0.195576433850811
"KEAP1",0.59085404187556,0.327961018641676,-0.104440255425695,0.102433171600429,-0.338252280777599,-0.338252280777599,-0.284069891918095
"ZEB",-0.22973226170977,-0.0960974230881771,-0.0591499975825982,-0.040505412479428,0.0986673399438083,0.0986673399438083,0.140179681151355
"Ecadherin",0.416546267131067,0.237939135156913,-0.0562404964889437,0.0551045779617208,-0.243283629683635,-0.243283629683635,-0.286819480990891
"miR200",0.0151300878623645,-0.0808697543797668,-0.0243751722099452,0.0240807659292779,-0.0192915359428139,-0.0192915359428139,-0.00285013914455539
"NRF2",-0.604204167820145,-0.338252280777599,0.105412027753321,-0.104440255425695,0.346014837855224,0.346014837855224,0.190436933116597
"miR34",-0.604204167820145,-0.338252280777599,0.105412027753321,-0.104440255425695,0.346014837855224,0.346014837855224,0.190436933116597
