"","Ecadherin","miR200","ZEB","miR34","SNAIL","NRF2","KEAP1"
"NRF2",0.0871844253291969,0.103491905992366,-0.0892667946026814,0.0159159455016333,-0.034208497289936,0.00599394873563355,-0.107297081030418
"miR200",0.0873162119929474,0.0726974816699839,-0.0824094406484921,-0.0306166944747517,-0.0374256803582358,0.0442427623138283,-0.163020062315145
"Ecadherin",0.0343299557585272,0.0446461839579809,-0.0307655217593106,-0.102110235427661,0.0396053031257444,-0.134608110567121,-0.0378850764241754
"ZEB",-0.0646739839052874,-0.0570030192155634,-0.0306166202757372,0.0439560487162996,0.0488952784061079,0.0608174329069292,0.0656953850507864
"KEAP1",-0.0901360191898817,-0.107297081030418,0.0871844253291969,-0.0159159455016333,0.0304301597584499,-0.111611926263723,0.101666013069253
"SNAIL",-0.0892667946026814,-0.106176870192844,0.0879063737791734,-0.0159159455016333,-0.0682594197880502,-0.00995870644488465,0.103491905992366
"miR34",-0.0871844253291969,-0.103491905992366,0.0892667946026814,-0.0159159455016333,0.034208497289936,-0.00599394873563355,0.107297081030418
