"","NRF2","miR34","miR200","ZEB","Ecadherin","KEAP1","SNAIL"
"NRF2",-0.0196320810655307,-0.182315163060572,-0.182315163060572,-0.116945754867993,0.0998703268254199,0.166485634902277,0.424923804451854
"SNAIL",-0.0253589533122268,-0.16972566425389,-0.16972566425389,-0.102597849916061,0.116945754867993,0.182315163060572,0.3310771443663
"miR200",0.239749539800301,0.0274334900846687,0.0274334900846687,-0.0567131191503156,0.0876257786203843,-0.100014135245959,0.079784715954505
"Ecadherin",0.218686224554198,0.0294872219120011,0.0294872219120011,-0.0523810673500114,0.0864194535623107,0.000712391738997015,0.194326361192796
"ZEB",-0.15482248696599,-0.0437953037938874,-0.0437953037938874,-0.0355358906625862,-0.0286037831256059,0.0759948502791482,0.0892883120666695
"KEAP1",-0.0743754095711734,0.166485634902277,0.166485634902277,0.0998703268254199,-0.11887859128823,-0.182602139756646,-0.429373846433382
"miR34",0.0196320810655307,0.182315163060572,0.182315163060572,0.116945754867993,-0.0998703268254199,-0.166485634902277,-0.424923804451854
