"","Ecadherin","miR200","SNAIL","NRF2","KEAP1","miR34","ZEB"
"miR200",0.585822752647174,0.404531260954972,0.114520433490923,-0.141476543760808,-0.490176422245295,-0.404531260954972,-0.606823734001443
"Ecadherin",0.545523206951778,0.295009207585499,0.190578149906317,-0.338950275747305,-0.28219529902143,-0.295009207585499,-0.564128769035601
"SNAIL",0.124935470327352,0.00277379387092879,-0.0529615205400229,-0.0744466168770369,-0.00146114470625099,-0.00277379387092879,-0.127565617252801
"KEAP1",0.118790910247324,-0.000517546313535921,0.0441167640276005,-0.169805391976445,0.00498356573101165,0.000517546313535921,-0.121742504108009
"NRF2",-0.121742504108009,-0.00146114470625099,-0.0462158404339817,0.0742997739989165,-0.000517546313535921,0.00146114470625099,0.124935470327352
"miR34",-0.121742504108009,-0.00146114470625099,-0.0462158404339817,0.0742997739989165,-0.000517546313535921,0.00146114470625099,0.124935470327352
"ZEB",-0.68496493072245,-0.458626159811426,-0.22486893854559,0.285430130690794,0.444718374475069,0.458626159811426,0.606214643564169
