"","NRF2","ZEB","miR34","miR200","Ecadherin","SNAIL","KEAP1"
"NRF2",0.00149410101516663,-0.0890612388744906,-0.0866574306749827,-0.0866574306749827,-0.00720098899017783,0.00816823672160532,0.00690096187741803
"miR200",0.239002218875315,-0.0391783031614902,0.0518239191461011,0.0518239191461011,-0.0934471942311664,0.0555342960146775,-0.0989206933396495
"SNAIL",-0.0200918020685338,-0.0103200816098434,-0.00992712041245288,-0.00992712041245288,-0.0890612388744906,-0.0269749024689179,0.0866574306749827
"ZEB",-0.157958977647504,-0.00907160291664062,-0.00769131809308182,-0.00769131809308182,0.0119713559622935,0.0653172087686468,0.0846376521822731
"KEAP1",-0.0790221909028071,0.00720098899017783,0.00690096187741803,0.00690096187741803,0.0923249559323266,-0.0755905708945692,-0.0898135832366413
"Ecadherin",-0.217161981706422,0.0103787639812485,-0.08737403346591,-0.08737403346591,0.0934574948860663,-0.0922352870896597,0.00643391756120941
"miR34",-0.00149410101516663,0.0890612388744906,0.0866574306749827,0.0866574306749827,0.00720098899017783,-0.00816823672160532,-0.00690096187741803
