"","miR34","miR200","ZEB","Ecadherin","NRF2","KEAP1","SNAIL"
"NRF2",0.417237933550958,0.417237933550958,-0.220748066731991,0.21644450356679,0.0447913616158882,-0.406431236442891,-0.611131312771371
"miR34",0.417237933550958,0.417237933550958,-0.220748066731991,0.21644450356679,0.0447913616158882,-0.406431236442891,-0.611131312771371
"miR200",0.120032705716668,0.120032705716668,-0.0732878149619183,0.0714232418510253,0.0719440880608393,-0.215193996039249,-0.205458109290376
"ZEB",-0.0636150760189841,-0.0636150760189841,-0.0568450211765456,-0.0425806622601647,0.0311024744387469,0.062254531801297,0.120931489877609
"Ecadherin",-0.244893147771181,-0.244893147771181,0.0949171355382536,-0.0925277896706468,-0.0932100491182915,0.238775955240595,0.351773480139514
"KEAP1",-0.406431236442891,-0.406431236442891,0.21644450356679,-0.210659379599847,-0.142169638769446,0.391868129646774,0.596437777926703
"SNAIL",-0.425233160281268,-0.425233160281268,0.223922381986843,-0.220748066731991,-0.0467003190314535,0.417237933550958,0.52202305347555
