"","ZEB","NRF2","KEAP1","miR34","miR200","Ecadherin","SNAIL"
"ZEB",-0.0902955212200355,-0.0841866970239063,-0.00635372194854953,0.00642930773842104,0.00642930773842104,0.00968150611743296,0.0707122573618081
"KEAP1",-0.0661262801369753,-0.028695925383987,-0.0790301153430982,0.0788359405858167,0.0788359405858167,-0.0662443438914027,-0.00228036727317101
"SNAIL",-0.0661181381767791,0.0715317635730986,-0.0788359405858167,0.0787762747146949,0.0787762747146949,-0.0661725550097194,-0.102499350880897
"Ecadherin",-0.0229477592521071,0.0131826996140417,-0.0885969497253071,0.0885325582249852,0.0885325582249852,-0.0230652680652681,0.0162232202910525
"miR200",-0.00399524119364081,0.175253001369753,-0.0785278815029989,-0.0216334088195817,-0.0216334088195817,-0.00409337662052992,-0.052699102270877
"NRF2",0.0661725550097194,-0.071678606451219,0.0788359405858167,-0.0788359405858167,-0.0788359405858167,0.0661262801369753,0.00253225644193675
"miR34",0.0661725550097194,-0.071678606451219,0.0788359405858167,-0.0788359405858167,-0.0788359405858167,0.0661262801369753,0.00253225644193675
