"","Ecadherin","miR200","miR34","SNAIL","NRF2","KEAP1","ZEB"
"Ecadherin",0.623734915877773,0.508359013110238,0.342650025903332,0.200800360212316,-0.315588861117228,-0.482924370483065,-0.652602914310989
"miR200",0.612821336814681,0.499671689178277,0.421323787510504,0.117046870007946,-0.126867976918738,-0.574994269823438,-0.640789933478076
"SNAIL",0.269307107559416,0.230803739292918,0.085638152346439,-0.0308377421870892,-0.0549816784894993,-0.222271519722513,-0.278938886989853
"miR34",0.257969763737111,0.222271519722513,0.0795522334920238,0.0666285296128451,-0.0510169207802482,-0.212225857622056,-0.269307107559416
"KEAP1",0.244628559486816,0.212225857622056,0.0723985044204865,0.0631860443063799,-0.146522538757776,-0.200769546942444,-0.257969763737111
"NRF2",-0.257969763737111,-0.222271519722513,-0.0795522334920238,-0.0666285296128451,0.0510169207802482,0.212225857622056,0.269307107559416
"ZEB",-0.749585678704717,-0.635128348488229,-0.498136958293962,-0.233012094285658,0.262825840238603,0.607917464134488,0.680483909809702
