"","ZEB","miR34","Ecadherin","KEAP1","miR200","SNAIL","NRF2"
"NRF2",-0.215713551426289,0.406430025323818,0.212520585206946,-0.160924665868847,0.163207770891678,-0.583463153977865,-0.0444168297806822
"miR34",-0.215713551426289,0.406430025323818,0.212520585206946,-0.160924665868847,0.163207770891678,-0.583463153977865,-0.0444168297806822
"miR200",-0.0661549934710068,0.104320675157092,0.0649773683483375,-0.122880068741784,0.0238478106772679,-0.170718661961653,-0.00898316009991137
"ZEB",-0.0653601647673174,-0.0446754169233525,-0.0345709172450879,-0.0069184328837508,0.0069184328837508,0.0808079378302182,0.103160622323413
"Ecadherin",0.0366156169572319,-0.0702882905669959,-0.035166341594913,0.12395101049134,-0.12491688299617,0.238699049837157,-0.187916624691675
"KEAP1",0.212520585206946,-0.398210847241626,-0.207916098784277,0.157623694995061,-0.160924665868847,0.57313569805847,-0.0578303612305538
"SNAIL",0.217944641576842,-0.412157948951503,-0.215713551426289,0.163207770891678,-0.164818749411965,0.490669471845585,0.0460321014400067
