"","Ecadherin","miR34","NRF2","miR200","SNAIL","KEAP1","ZEB"
"miR200",0.407132435111065,0.403824925406958,0.484400469806561,0.252844510888421,-0.196451990663749,-0.354618704436808,-0.406838028830398
"Ecadherin",0.316236620522335,0.3115173362591,0.390238889128851,0.140570169144175,-0.201274643556012,-0.140634560644497,-0.316275790126722
"SNAIL",0.243727537747046,0.0967586296395275,0.220453912713559,0.187817788096255,-0.130674370493261,-0.188712776163081,-0.243927066134494
"KEAP1",0.239823184139272,0.0926563058491009,0.112603593454043,0.186886292144816,-0.0254698214030541,-0.188245515445787,-0.241830267964538
"NRF2",-0.241830267964538,-0.0934173408567112,-0.219719698322957,-0.188712776163081,0.0314311983971767,0.186886292144816,0.243727537747046
"miR34",-0.241830267964538,-0.0934173408567112,-0.219719698322957,-0.188712776163081,0.0314311983971767,0.186886292144816,0.243727537747046
"ZEB",-0.470132724130994,-0.464290735916969,-0.445934544385773,-0.307536068918356,0.254268163499359,0.307460483128485,0.370615150044158
