"","Ecadherin","miR200","SNAIL","NRF2","KEAP1","miR34","ZEB"
"miR200",0.609306684423158,0.407606938684364,0.13997313974276,-0.159032000148751,-0.492284358039202,-0.508983652819972,-0.630700207484983
"Ecadherin",0.468169528883815,0.339747572323355,0.0132339277418867,-0.280531022500646,-0.327320012761217,-0.308166147918165,-0.482074738441198
"SNAIL",0.142278620255855,-0.00116754950279843,-0.0301526667306689,-0.0899446629818112,-0.0012190853420703,-0.160863777662597,-0.147520775162439
"NRF2",0.141862146401158,0.0012190853420703,0.0717229502486006,-0.0830430477101519,0.0079133347492539,-0.157940149977633,-0.142278620255855
"KEAP1",-0.133479619836813,0.0079133347492539,-0.0642502382418836,-0.0150842931138181,-0.00344731533177817,0.15626587296089,0.141862146401158
"miR34",-0.141862146401158,-0.0012190853420703,-0.0717229502486006,0.0830430477101519,-0.0079133347492539,0.157940149977633,0.142278620255855
"ZEB",-0.668574683260624,-0.46786408928537,-0.159731633448626,0.272235565088866,0.455165676586957,0.561215326397308,0.588721708300826
