"","SNAIL","ZEB","Ecadherin","miR34","KEAP1","miR200","NRF2"
"miR34",0.0304980767279337,-0.0725152124762111,0.0720987386215142,-0.0263368315292954,-0.0251191755171188,0.0263368315292954,-0.0136858418345776
"SNAIL",-0.0698638844435042,-0.0724607956432708,0.0725152124762111,-0.0259788363025651,-0.0263368315292954,0.0259788363025651,-0.013832684712698
"KEAP1",0.0307499658966995,-0.0720987386215142,0.072925184902506,-0.0251191755171188,-0.0268667483326528,0.0251191755171188,-0.113311309999372
"ZEB",-0.0771785120342805,-0.0661509271223985,-0.0338720455401331,-0.00776124589095488,-0.00776124589095488,0.00776124589095488,0.102974575811785
"Ecadherin",0.0960625735015932,-0.0410704949835385,0.0414230214230214,0.0295255339530671,0.0286884444488816,-0.0295255339530671,-0.206374877914236
"miR200",0.00410474173541288,-0.0237461432219447,0.0239424140757229,0.012569879195693,-0.0877527014494683,-0.012569879195693,-0.000110788816372573
"NRF2",-0.0304980767279337,0.0725152124762111,-0.0720987386215142,0.0263368315292954,0.0251191755171188,-0.0263368315292954,0.0136858418345776
