"","ZEB","miR200","KEAP1","Ecadherin","miR34","SNAIL","NRF2"
"ZEB",-0.0984281319669546,-0.00634386485238221,0.000372587452533379,0.00143755075859251,0.00634386485238221,0.0252405271130997,0.0735415933491542
"KEAP1",-0.037291871520014,-0.0700218500801267,0.0593422384296412,0.034576405168184,0.0700218500801267,0.0216217027376504,-0.142585291794213
"SNAIL",-0.0315967634195443,-0.0662787021196642,0.0723049551029577,0.0323404601363953,0.0662787021196642,-0.0836894371623731,-0.0513084187225575
"Ecadherin",-0.00784344598009194,0.0100815249112288,-0.0165850664437465,0.00239887097029954,-0.0100815249112288,0.0678856080277999,-0.0350012284368434
"miR200",0.00994801927311311,0.0126950019742666,-0.110598227780718,-0.00248972682954098,-0.0126950019742666,-0.028709953610278,0.0436610513006452
"NRF2",0.0323404601363953,0.0723049551029577,-0.0700218500801267,-0.037291871520014,-0.0723049551029577,-0.0136452123934018,0.0455815464758614
"miR34",0.0323404601363953,0.0723049551029577,-0.0700218500801267,-0.037291871520014,-0.0723049551029577,-0.0136452123934018,0.0455815464758614
