"","miR34","miR200","Ecadherin","ZEB","NRF2","SNAIL","KEAP1"
"KEAP1",-0.00766126543079646,-0.00766126543079646,0.117730287666503,-0.116903841385511,-0.170581209547833,0.0466752435264388,0.0191175761104081
"SNAIL",-0.00984447325692448,-0.00984447325692448,0.116579917276303,-0.115473441673183,-0.0728514994387737,-0.0566773109645901,0.0139017524932013
"ZEB",-0.150181316221796,-0.150181316221796,-0.108211926708613,0.00910786054734482,0.0326412319448801,0.0699607442656428,0.153129162026784
"Ecadherin",-0.140114146271549,-0.140114146271549,-0.106552574409717,0.105416655882494,-0.067594954816609,0.105898949012092,0.144299593792476
"NRF2",0.0139017524932013,0.0139017524932013,-0.116903841385511,0.116579917276303,0.0776973144167473,-0.0346685264819384,-0.00766126543079646
"miR34",0.0139017524932013,0.0139017524932013,-0.116903841385511,0.116579917276303,0.0776973144167473,-0.0346685264819384,-0.00766126543079646
"miR200",-0.156828877104412,-0.156828877104412,-0.134276061492921,0.13329470722403,0.149398300515052,-0.00735655260939043,0.0590869416205412
