"","ZEB","SNAIL","KEAP1","Ecadherin","miR34","miR200","NRF2"
"ZEB",-0.0913541632123723,-0.0666007654591969,-0.0162792576667901,-0.0100471692020545,0.00972142179345935,0.0187735887325497,0.0779829428075873
"SNAIL",-0.035581139802846,-0.0721827468362865,0.0696205933234483,0.0327696034342626,-0.0477939331420337,-0.0711122401014913,-0.0498541718835035
"miR34",-0.0327696034342626,0.0296270590209033,0.0746434243736766,0.0321680300885893,-0.0470779426885731,-0.0696205933234483,-0.0532315580802729
"KEAP1",-0.0321680300885893,0.0265204259394592,0.0709541039853271,0.0398421741263697,-0.0422073186398668,-0.0746434243736766,-0.144617325870535
"miR200",0.000835992396401577,-0.00257901558005397,-0.100483481464752,-0.00299497178796193,0.000348780794181313,0.00193509436797785,0.0313856504465642
"Ecadherin",0.00150629591623381,0.0270805713509077,-0.0215198506630158,0.00401661830233258,-0.0720725799396377,0.0200388461556108,-0.0267373879400024
"NRF2",0.0327696034342626,-0.0296270590209033,-0.0746434243736766,-0.0321680300885893,0.0470779426885731,0.0696205933234483,0.0532315580802729
