"","NRF2","ZEB","miR200","Ecadherin","miR34","KEAP1","SNAIL"
"ZEB",-0.105577565239419,-0.0895011877508796,-0.0462375838881521,0.0101082769860835,0.0277829446021094,0.0466155128375097,0.135625600982926
"KEAP1",-0.124774814402542,-0.0626912650951051,-0.107681089757994,-0.0637538388849516,0.163926198718656,0.108263614029839,0.155432800136525
"SNAIL",-0.0255898748721095,-0.0626105673576551,-0.107415635661664,-0.0627375399678492,0.162350547479749,0.107833296759516,0.0545058082104055
"Ecadherin",-0.00457964253821797,-0.0220740654902146,0.0282690269786191,-0.0228966271823415,0.103629080568806,-0.0273031544737898,0.0645339541255104
"miR200",0.208944732650316,-0.00475535385595295,0.0587604311155902,-0.00554043727106581,-0.0542863367277953,-0.157308818212364,-0.145142895323409
"NRF2",0.0251493462377482,0.0627375399678492,0.107833296759516,0.0626912650951051,-0.162708542706479,-0.107681089757994,-0.154341280405206
"miR34",0.0251493462377482,0.0627375399678492,0.107833296759516,0.0626912650951051,-0.162708542706479,-0.107681089757994,-0.154341280405206
