"","NRF2","ZEB","SNAIL","Ecadherin","miR200","KEAP1","miR34"
"SNAIL",0.0172455395799622,-0.0854736850604541,-0.0315208084772494,0.0858183250024095,-0.0366924362001372,0.0376470901380847,-0.122492974794538
"KEAP1",-0.082445925383987,-0.0852167516567362,0.0691860394435253,0.0862793254465827,-0.0359728131213419,0.0388854344805652,-0.122367558404859
"ZEB",-0.101542439631715,-0.0738566733714901,-0.0320784280822041,-0.0269014244920523,-0.0182976287262665,0.0161812266098644,0.0235544194213378
"Ecadherin",0.194532595490707,-0.000638722160461292,-0.0695686450534334,-0.000575535575535574,0.090121701755043,-0.0935344512721068,-0.00897823602305371
"miR200",-0.00310763404672034,0.0401617789075588,-0.0368820878254451,-0.0387878829311113,-0.00463410489548454,-0.09149492736258,0.0426361543461521
"NRF2",-0.016805010945601,0.0858183250024095,-0.0675907413746756,-0.0852167516567362,0.0376470901380847,-0.0359728131213419,0.122671972407903
"miR34",-0.016805010945601,0.0858183250024095,-0.0675907413746756,-0.0852167516567362,0.0376470901380847,-0.0359728131213419,0.122671972407903
