"","Ecadherin","miR34","miR200","SNAIL","NRF2","ZEB","KEAP1"
"Ecadherin",0.321963036963037,0.165071695900984,0.165071695900984,0.141900473434237,-0.251982342523999,-0.323177294699034,-0.164363389397443
"SNAIL",0.157835755232037,0.0179924900075689,0.0179924900075689,-0.0457220040680256,-0.0887007941212659,-0.157890172064977,-0.0172764995541083
"miR34",0.157049082395387,0.0172764995541083,0.0172764995541083,0.0531921124176604,-0.0870855224619414,-0.157835755232037,-0.0156022225373655
"KEAP1",0.155278126078977,0.0156022225373655,0.0156022225373655,0.0537798538114472,-0.186336458791529,-0.157049082395387,-0.0169614458383364
"NRF2",-0.157049082395387,-0.0172764995541083,-0.0172764995541083,-0.0531921124176604,0.0870855224619414,0.157835755232037,0.0156022225373655
"ZEB",-0.314580160753056,-0.239026686633597,-0.239026686633597,-0.142099519420573,0.135588438454525,0.215292313291535,0.239026686633597
"miR200",-0.324339938277798,-0.233416506970013,-0.233416506970013,-0.1156981062943,0.244163800102886,0.3252231571198,0.132126184389368
