"","ZEB","miR34","miR200","KEAP1","NRF2","Ecadherin","SNAIL"
"ZEB",-0.0918785561119465,-0.0533849470756344,-0.0533849470756344,-0.0529314323364054,-0.0137886564737661,0.00837414317590093,0.159060151193744
"SNAIL",-0.0867554573429519,-0.182058100959882,-0.182058100959882,-0.18164043986203,0.123427823098178,-0.0865922068441309,0.303163730083669
"KEAP1",-0.0867310314623632,-0.181336025858985,-0.181336025858985,-0.180365152072578,0.0214891671229925,-0.0866129677079358,0.402009797537582
"Ecadherin",-0.0289281523132455,0.00713239095515761,0.00713239095515761,0.00758313145741132,-0.0496622410528887,-0.0286539650825365,0.135267905803654
"miR200",-0.0242229947457204,0.00931180569152701,0.00931180569152701,0.10995696698185,-0.0593171380227218,-0.023830453038164,0.0128014048653542
"NRF2",0.0865922068441309,0.18164043986203,0.18164043986203,0.181336025858985,-0.122987294463817,0.0867310314623632,-0.40293339115639
"miR34",0.0865922068441309,0.18164043986203,0.18164043986203,0.181336025858985,-0.122987294463817,0.0867310314623632,-0.40293339115639
