"","KEAP1","Ecadherin","SNAIL","ZEB","miR34","miR200","NRF2"
"Ecadherin",0.291821911465473,0.288514422085851,0.199975869089126,-0.288553591690238,-0.292916566970946,-0.292916566970946,-0.423561648843363
"miR200",0.175059502551271,0.273975415975132,0.0857809176386088,-0.27417168682891,-0.276188534809336,-0.276188534809336,-0.201926857688279
"SNAIL",0.131864818338541,0.0900406764444028,-0.0122324948718961,-0.0893332576161786,-0.131566488982933,-0.131566488982933,-0.105282938955018
"KEAP1",0.131381893599732,0.0904696614512348,0.0887057694882317,-0.0886987051348239,-0.130799369327887,-0.130799369327887,-0.203233738341248
"NRF2",-0.130799369327887,-0.0886987051348239,-0.085431210294277,0.0900406764444028,0.131864818338541,0.131864818338541,0.106604524858102
"miR34",-0.130799369327887,-0.0886987051348239,-0.085431210294277,0.0900406764444028,0.131864818338541,0.131864818338541,0.106604524858102
"ZEB",-0.324143199986406,-0.296817973649894,-0.19685272714582,0.196978782287615,0.324974643674992,0.324974643674992,0.335147497493138
