"","Ecadherin","miR200","SNAIL","NRF2","ZEB","KEAP1","miR34"
"miR200",0.2685307940369,0.222008092614261,0.0592545209011179,-0.0111863545366083,-0.268040116902454,-0.320233899065874,-0.262771150076164
"SNAIL",0.0892667946026814,-0.0384589314816629,-0.0167748672551532,-0.066942659639196,-0.0879063737791734,0.042038883748966,-0.128719856172873
"KEAP1",0.0901360191898817,-0.0367116386956935,0.0850801112236153,-0.16429783791305,-0.0871844253291969,0.0446728037442372,-0.128092774224478
"NRF2",-0.0871844253291969,0.042038883748966,-0.0787828820044717,0.0717884746171696,0.0892667946026814,-0.0367116386956935,0.129614844239699
"miR34",-0.0871844253291969,0.042038883748966,-0.0787828820044717,0.0717884746171696,0.0892667946026814,-0.0367116386956935,0.129614844239699
"ZEB",-0.289406135959182,-0.215486629511061,-0.162301279117342,0.128397533911036,0.18952099927184,0.215411043721189,0.308161420607673
"Ecadherin",-0.240463821892393,-0.190725019582114,-0.00296649016235229,-0.00299158050576232,0.24167807962839,0.193493854095958,0.161333823057981
