"","SNAIL","miR200","Ecadherin","ZEB","NRF2","miR34","KEAP1"
"SNAIL",0.525078260826739,0.462210824212738,0.275838371058424,-0.278940130536022,0.0283688658038715,-0.462210824212738,-0.450396981730637
"KEAP1",0.597958939626191,0.439438077621048,0.260381798687965,-0.266166922654907,-0.0728933229799725,-0.439438077621048,-0.418661378591922
"Ecadherin",0.422082051853781,0.317157416749588,0.164714095428381,-0.156605987320273,-0.116483959534058,-0.317157416749588,-0.29584383014302
"miR200",0.0182855753812899,0.0506758072449644,0.0756706710260685,-0.0603615444313678,0.0473792789275023,-0.0506758072449644,-0.135837097567545
"ZEB",-0.236632546065357,-0.145041182128618,-0.101885318803441,0.018264827188463,0.0608297340632842,0.145041182128618,0.152826518485383
"NRF2",-0.613660031145923,-0.450396981730637,-0.266166922654907,0.275838371058424,-0.0241104223383795,0.450396981730637,0.439438077621048
"miR34",-0.613660031145923,-0.450396981730637,-0.266166922654907,0.275838371058424,-0.0241104223383795,0.450396981730637,0.439438077621048
