"","miR34","miR200","NRF2","Ecadherin","ZEB","SNAIL","KEAP1"
"Ecadherin",0.188928164299977,0.188928164299977,0.301647896156109,0.15460840746555,-0.155822665201547,-0.15332077365898,-0.191568215813177
"KEAP1",0.0267831388902289,0.0267831388902289,-0.0150864587915294,0.152935452216104,-0.149983858355419,0.0139182306442811,-0.0199870223853745
"SNAIL",0.0230900303437513,0.0230900303437513,0.0800297780709828,0.15021523271914,-0.149544091779543,-0.0876688617556947,-0.0196294098186916
"ZEB",-0.244553151014296,-0.244553151014296,-0.242439752466205,-0.192119632311219,0.0931074568000768,0.161384590172889,0.245686937862369
"NRF2",-0.0196294098186916,-0.0196294098186916,-0.0792955636803807,-0.149983858355419,0.15021523271914,-0.00459833139994863,0.0267831388902289
"miR34",-0.0196294098186916,-0.0196294098186916,-0.0792955636803807,-0.149983858355419,0.15021523271914,-0.00459833139994863,0.0267831388902289
"miR200",-0.2374896208387,-0.2374896208387,-0.159271520921267,-0.2215640724312,0.221662207858089,0.0698186809626494,0.14007026599999
