"","miR34","Ecadherin","KEAP1","ZEB","SNAIL","miR200","NRF2"
"miR200",0.25037459834202,0.24049986245107,0.0981072730605844,-0.241088675012405,-0.0723451174796724,-0.198752434350907,-0.154279423340337
"Ecadherin",0.224480864529952,0.204655423941138,0.0807120593170721,-0.205477985633265,-0.162433623932841,-0.0814203658206136,-0.29608053527435
"NRF2",-0.0302822834258059,0.0756459637907354,0.101452750075065,-0.0777283330642199,0.0219758770866355,-0.102974820090285,-0.0885868129420977
"SNAIL",-0.0268216629007462,0.0777283330642199,0.102974820090285,-0.0764404680179656,-0.0741083611496264,-0.102199163765703,-0.0860904840140508
"KEAP1",0.0249550383725334,-0.0785975576514202,-0.103200322890599,0.0756459637907354,-0.0279372540807581,0.101452750075065,-0.0155330372451682
"miR34",0.0302822834258059,-0.0756459637907354,-0.101452750075065,0.0777283330642199,-0.0219758770866355,0.102974820090285,0.0885868129420977
"ZEB",-0.270890658565063,-0.229352719570242,-0.173590982339513,0.129697309508216,0.168545476409411,0.173968911288871,0.237777020217007
