"","SNAIL","miR200","Ecadherin","ZEB","miR34","NRF2","KEAP1"
"SNAIL",-0.0695747171440907,0.105488390311407,0.089761762912751,-0.0865874476578988,0.0145854597431372,0.0104652318784011,-0.1024454308842
"KEAP1",0.0305580654976871,0.105793984917685,0.091007196205637,-0.0854581997475497,0.0132862512921976,-0.0883880737362766,-0.102104664529336
"Ecadherin",0.0964040914628768,0.156794278237062,0.0855366855366855,-0.072414868067042,-0.0584325596904303,-0.124317422259505,-0.145139416678787
"miR200",0.00441692221723375,0.0445598384632871,0.0727930903103364,-0.0574839637156357,-0.0398101287823698,0.0469824535306769,-0.130850161043932
"ZEB",-0.0795114637484561,-0.0689403311261886,-0.06584358965386,-0.0209930747155404,0.0333434102791396,0.0640321309903587,0.0808073001360148
"NRF2",-0.0313137330039843,-0.1024454308842,-0.0854581997475497,0.089761762912751,-0.0170914263302494,-0.00561941690042756,0.105793984917685
"miR34",-0.0313137330039843,-0.1024454308842,-0.0854581997475497,0.089761762912751,-0.0170914263302494,-0.00561941690042756,0.105793984917685
