"","ZEB","KEAP1","miR34","miR200","Ecadherin","NRF2","SNAIL"
"ZEB",-0.0842715141351276,-0.0260194827091218,-0.0118849400031505,-0.0118849400031505,-0.00996234756944397,0.0357044397976835,0.0512561957763526
"SNAIL",-0.0790911469767169,-0.0402208705736815,-0.0267363837001732,-0.0267363837001732,0.0845872471036895,-0.0560009369510647,-0.0456563472713171
"Ecadherin",-0.0269800819179701,0.0238582493120004,0.042724958906334,0.042724958906334,0.0346964939822083,-0.131972883681572,0.067082874457383
"miR200",0.025634685362833,0.0989870064571851,-0.0114968645105568,-0.0114968645105568,-0.0299526441459537,0.1387727388235,-0.0340472953131751
"KEAP1",0.0776922910648186,0.0444909419484211,0.0233258934047317,0.0233258934047317,-0.0863109451380182,0.152509706275752,-0.0595475387345363
"NRF2",0.0845872471036895,0.0233258934047317,0.0402208705736815,0.0402208705736815,-0.0776922910648186,0.0693636388600222,-0.0341067326891963
"miR34",0.0845872471036895,0.0233258934047317,0.0402208705736815,0.0402208705736815,-0.0776922910648186,0.0693636388600222,-0.0341067326891963
