"","Ecadherin","miR34","KEAP1","SNAIL","ZEB","miR200","NRF2"
"Ecadherin",0.252121846407561,0.212479798203083,0.211900274700186,0.0316219246363919,-0.252317694429496,-0.212479798203083,-0.372635214317856
"miR200",0.239345731449133,0.20409544271634,0.103127700780856,-0.0446683270063545,-0.239542002302911,-0.20409544271634,-0.153897690014441
"SNAIL",0.0700066341400443,0.0872076107017534,0.0873866083151185,-0.0857658843475305,-0.0697345499753427,-0.0872076107017534,-0.0766302001885248
"KEAP1",0.0694720965309201,0.0866255733075082,0.0864313985502266,0.0154606559352584,-0.0695901602853475,-0.0866255733075082,-0.177232420980816
"NRF2",-0.0695901602853475,-0.0873866083151185,-0.0866255733075082,-0.0142012100914297,0.0700066341400443,0.0873866083151185,0.0764833573104044
"miR34",-0.0695901602853475,-0.0873866083151185,-0.0866255733075082,-0.0142012100914297,0.0700066341400443,0.0873866083151185,0.0764833573104044
"ZEB",-0.252022699085082,-0.226425827099475,-0.226350241309604,0.0578573601665468,0.151999726422551,0.226425827099475,0.271213785002609
