"","ZEB","miR200","Ecadherin","miR34","KEAP1","NRF2","SNAIL"
"ZEB",-0.0881515145871318,-0.0224751111211032,-0.0117795674252734,0.00184538186798635,0.0223995253312317,0.0268558552656425,0.0623155272441455
"NRF2",-0.0667423247799273,-0.0201137852192415,0.0666960499071832,0.0801413446324949,0.0201137852192415,-0.0473123123865216,-0.000187910904792768
"SNAIL",-0.0666153521697332,-0.0198751217347547,0.0667423247799273,0.0799623470191297,0.0201137852192415,-0.0477528410208828,-0.0996285163671159
"Ecadherin",0.00327037314614954,0.0895887097744239,-0.00338788195931053,0.00614970901318657,-0.0899106672760337,-0.101948427171996,-0.0766446809655956
"miR200",0.00567725618153773,-0.0225258223356117,-0.00528471447398131,0.0183328968010784,-0.0760225647611625,0.124167023050272,0.0464031356270502
"KEAP1",0.0666960499071832,0.0201137852192415,-0.0665779861527558,-0.0799891376309728,-0.0191429114328338,-0.0504404966022424,-0.000399830488993966
"miR34",0.0667423247799273,0.0201137852192415,-0.0666960499071832,-0.0801413446324949,-0.0201137852192415,0.0473123123865216,0.000187910904792768
