"","ZEB","SNAIL","Ecadherin","miR34","miR200","KEAP1","NRF2"
"ZEB",-0.0840377789893528,-0.0645670704118728,-0.0165365375739369,-0.000138370979189617,-0.000138370979189617,0.000667471508290146,0.0404892936520843
"NRF2",-0.0369953651270338,-0.013660763189783,0.0369490902542897,0.0699936015698524,0.0699936015698524,-0.0704502225744186,0.0235392105214407
"Ecadherin",-0.00984026092721745,0.0832861883344763,0.00948773448773449,0.0124802795884765,0.0124802795884765,-0.0133173690926619,-0.135995192262217
"miR200",0.0139209595840929,-0.0510026486083284,-0.0146079075723167,0.0135236071017938,0.0135236071017938,-0.115620381295342,0.145514091097847
"SNAIL",0.0368321146282128,-0.0869644424699735,-0.0369953651270338,-0.0698146039564873,-0.0698146039564873,0.0699936015698524,-0.0257418536932469
"KEAP1",0.0369490902542897,0.0142485045835697,-0.0377755365352814,-0.0704502225744186,-0.0704502225744186,0.0659842031569429,-0.129531719884737
"miR34",0.0369953651270338,0.013660763189783,-0.0369490902542897,-0.0699936015698524,-0.0699936015698524,0.0704502225744186,-0.0235392105214407
