"","ZEB","KEAP1","NRF2","miR34","Ecadherin","miR200","SNAIL"
"KEAP1",-0.164338933729115,-0.296794434853857,0.120654180543462,-0.10825885534872,-0.16634601755438,0.291940065921818,0.325765738768161
"SNAIL",-0.162490927002681,-0.288591511888333,0.214199693586079,-0.107318822727744,-0.163089512165024,0.286801535754681,0.222172318885742
"ZEB",-0.111215035054456,-0.0570399723888089,-0.0511856336470025,-0.0465207929411396,-0.0116974609676194,0.0560573571204794,0.174273832885433
"Ecadherin",-0.0414279104962335,-0.128744495164692,0.0412743905016289,0.0284944660493377,-0.0418587761444904,0.127778622659862,0.0983081519177255
"miR200",0.0300107056822387,0.00283916600103786,0.122302114129525,0.0594011600331496,0.0306976536704624,-0.101226262775231,-0.207699825625277
"NRF2",0.163089512165024,0.291940065921818,-0.217283394026608,0.107497820341109,0.164338933729115,-0.288591511888333,-0.322994957911738
"miR34",0.163089512165024,0.291940065921818,-0.217283394026608,0.107497820341109,0.164338933729115,-0.288591511888333,-0.322994957911738
