"","KEAP1","Ecadherin","miR34","SNAIL","ZEB","miR200","NRF2"
"Ecadherin",0.26907992481779,0.278619317190746,0.133810126888208,0.150715038948997,-0.278815165212681,-0.269788231321331,-0.410097734095712
"miR200",0.167782234458976,0.270611422417248,0.21939783618494,0.0675173220328867,-0.270611422417248,-0.268104815104138,-0.197865943982695
"KEAP1",0.0970851037737502,0.0743722400915881,-0.0281111972848761,0.0383693080730326,-0.0744903038460155,-0.098055977560158,-0.182415347810085
"SNAIL",0.0975993565555917,0.0741663797368068,-0.0278603645055182,-0.0609147265963328,-0.074257074458374,-0.09753969068447,-0.0839794719500639
"miR34",0.098055977560158,0.0744903038460155,-0.0275023692787879,0.0387891233543088,-0.0741663797368068,-0.0975993565555917,-0.0835389433157026
"NRF2",-0.098055977560158,-0.0744903038460155,0.0275023692787879,-0.0387891233543088,0.0741663797368068,0.0975993565555917,0.0835389433157026
"ZEB",-0.307590813430955,-0.289288902664927,-0.215528136158678,-0.161805372988068,0.189449711302648,0.307968742380313,0.325141609483503
