"","ZEB","miR34","miR200","Ecadherin","NRF2","KEAP1","SNAIL"
"SNAIL",-0.161747669812131,-0.158891073340724,-0.158891073340724,0.161185362538415,-0.158122053568182,0.157996085273899,0.366050552939288
"KEAP1",-0.160028490719812,-0.1566262222602,-0.1566262222602,0.158021406894547,-0.253297687549934,0.15410195041554,0.458569801034785
"ZEB",-0.10885687101328,-0.0141205263343751,-0.0141205263343751,0.00901767965100086,0.00957655196120974,0.0141205263343751,0.0916211556335761
"Ecadherin",-0.0537642328946677,-0.128371915134943,-0.128371915134943,0.0527849927849928,-0.144024859601784,0.127534825630758,0.288199127898521
"miR200",0.0112944530729194,0.0172770322472327,0.0172770322472327,-0.0113925884998085,0.133742554681641,-0.11663187095691,-0.0717377308160027
"NRF2",0.161185362538415,0.157996085273899,0.157996085273899,-0.160028490719812,0.155919410396376,-0.1566262222602,-0.463187769128824
"miR34",0.161185362538415,0.157996085273899,0.157996085273899,-0.160028490719812,0.155919410396376,-0.1566262222602,-0.463187769128824
