"","ZEB","NRF2","miR200","Ecadherin","KEAP1","miR34","SNAIL"
"ZEB",-0.10396917005103,-0.0701855398725232,-0.00779532503320908,-0.00376241608824548,0.00756856766359457,0.0182086436848871,0.0642362741251865
"KEAP1",-0.059740997893501,-0.095298156593086,-0.027722847770313,-0.0586784241036544,0.0286937215567208,0.0763602175985477,0.00726561256188806
"SNAIL",-0.0591775574603755,0.0053552117185509,-0.0278093042532778,-0.0592319742933159,0.027570640768791,0.0771602125128722,-0.0933482377783157
"Ecadherin",-0.00629936223103925,-0.0183955205920874,0.0285122654625096,-0.0058684965827823,-0.0280615249602559,0.0789496895044263,0.0242623607753203
"miR200",-0.000269841074194076,0.0316456555289043,0.000419978395713899,-0.000564247354861397,-0.100097397750553,-0.0020068964338879,-0.00259867471003991
"NRF2",0.0592319742933159,-0.00432731157170802,0.027570640768791,0.059740997893501,-0.027722847770313,-0.0775778736107242,-0.00701372339312231
"miR34",0.0592319742933159,-0.00432731157170802,0.027570640768791,0.059740997893501,-0.027722847770313,-0.0775778736107242,-0.00701372339312231
