"","KEAP1","Ecadherin","ZEB","miR200","miR34","SNAIL","NRF2"
"miR34",-0.0162618334920585,0.0231591348539355,-0.0596700094490303,-0.0500517878299581,-0.0633615383966837,-0.000672489346440583,0.00197257214210309
"miR200",0.10727314899604,0.0869610871687818,-0.0454498015946896,0.0458215360928141,-0.0563248847768389,0.0383298957880465,-0.239795869668966
"SNAIL",-0.0500517878299581,0.0596700094490303,-0.0268566591860156,-0.0196221935578817,-0.0800083164396432,-0.0828705808239003,0.0129857880011339
"Ecadherin",0.0272236096030148,0.077051282051282,-0.0245248425683208,0.0760967583473806,-0.128594220620148,0.0546941336159567,-0.220563526963775
"KEAP1",-0.0541259111619614,0.0638911301313853,-0.0231591348539355,-0.0162618334920585,-0.0820829995838983,0.0187229766485216,-0.0860424091313052
"ZEB",-0.0702931895610225,-0.0251680864042131,-0.0221555984108569,-0.0213135977242878,0.0265094249808861,0.0436494598016325,0.155497435075303
"NRF2",0.0162618334920585,-0.0231591348539355,0.0596700094490303,0.0500517878299581,0.0633615383966837,0.000672489346440583,-0.00197257214210309
