"","NRF2","Ecadherin","miR200","miR34","SNAIL","ZEB","KEAP1"
"miR200",0.596372417768357,0.491590271597404,0.449911287547954,0.315296255522072,-0.181200373197646,-0.501796355993871,-0.536685481096341
"Ecadherin",0.514030688144898,0.411231308374166,0.36589017154343,0.208735703631499,-0.184929632658189,-0.41965277331737,-0.356810969998034
"SNAIL",0.0479509425867374,0.109434808407059,0.0105911790548619,0.105668801573758,-0.107057415368468,-0.110251060901164,-0.00868187117896688
"KEAP1",-0.0568734234315107,0.106289865343728,0.00792083617135653,0.104284317243088,-0.00536340061649852,-0.107352439133574,-0.00384316626844391
"NRF2",-0.0457482994149312,-0.107352439133574,-0.00868187117896688,-0.104893145249176,0.00695869868534823,0.109434808407059,0.00792083617135653
"miR34",-0.0457482994149312,-0.107352439133574,-0.00868187117896688,-0.104893145249176,0.00695869868534823,0.109434808407059,0.00792083617135653
"ZEB",-0.561764875779645,-0.557862745392738,-0.513698536262155,-0.371125901450101,0.237380686525485,0.468177470869421,0.50288976831053
