"","ZEB","miR200","NRF2","miR34","Ecadherin","KEAP1","SNAIL"
"ZEB",-0.105524601372115,-0.0467243269829888,-0.0353776015673955,-0.0341915436872155,-0.00540973805945734,0.0459684690842737,0.1468738808344
"SNAIL",-0.080636031253456,-0.291267566087378,-0.0838413156720959,-0.21345355383143,-0.080472780754635,0.288761599500266,0.382733903630689
"KEAP1",-0.0800563068999381,-0.284956424462214,-0.180272538757776,-0.208744854057016,-0.0792298606189464,0.280102055530175,0.472389290403648
"Ecadherin",-0.0119601850968311,-0.131037584771928,-0.103379285448175,-0.0157076267474396,-0.0119210154924441,0.129685363265167,0.168001807260501
"miR200",0.0203380486539009,0.0881373251958901,0.141736517853269,0.0650127048390263,0.0199455069463445,-0.186685712292664,-0.204924077950356
"NRF2",0.080472780754635,0.288761599500266,0.0825197297690122,0.211484580084413,0.0800563068999381,-0.284956424462214,-0.478686519622791
"miR34",0.080472780754635,0.288761599500266,0.0825197297690122,0.211484580084413,0.0800563068999381,-0.284956424462214,-0.478686519622791
