"","KEAP1","miR34","miR200","ZEB","Ecadherin","NRF2","SNAIL"
"SNAIL",-0.19817680301518,-0.183081337621385,-0.183081337621385,-0.107552712257096,0.12502051563094,-0.132397981351454,0.389513336346716
"Ecadherin",0.000328626351786304,0.0367098240336923,0.0367098240336923,-0.0474824228240377,0.0874745889031603,-0.147958223313657,0.182858938298874
"ZEB",-0.0920855557821278,-0.0528565308388171,-0.0528565308388171,-0.0376054003853894,-0.019274912042821,0.0630197663756575,0.140729738457417
"miR200",0.167333961144076,0.110237186950528,0.110237186950528,-0.0123869890369782,0.0580199625404129,0.0991744606211611,-0.186203082498853
"KEAP1",0.194994346719278,0.177324443806657,0.177324443806657,0.103872898786886,-0.125478565847099,0.224425568013501,-0.481287940713293
"NRF2",0.177324443806657,0.19817680301518,0.19817680301518,0.12502051563094,-0.103872898786886,0.152515455653951,-0.477173750956786
"miR34",0.177324443806657,0.19817680301518,0.19817680301518,0.12502051563094,-0.103872898786886,0.152515455653951,-0.477173750956786
