"","SNAIL","ZEB","Ecadherin","KEAP1","miR34","miR200","NRF2"
"NRF2",-0.122509400079285,-0.146087441162782,0.143264673925392,-0.201945719791308,0.200575856777609,0.200575856777609,0.0118015208805945
"ZEB",-0.131682338571579,-0.0646659497927596,-0.0182194166212078,-0.00186026345550577,0.015390119842505,0.015390119842505,0.0708186440107525
"miR200",0.0095045830890207,-0.0518422617586826,0.0693103677449436,-0.122089253539569,0.0359602212815048,0.0359602212815048,0.0471577012947571
"Ecadherin",0.193735606966893,0.0189005026272107,-0.00546532832247118,0.0439328307444787,-0.0334370161919997,-0.0334370161919997,-0.13471607366229
"KEAP1",0.12259336313554,0.143264673925392,-0.146216267786076,0.198644748917521,-0.201945719791308,-0.201945719791308,-0.115546839232654
"SNAIL",0.0224106833961656,0.14418285200987,-0.146087441162782,0.200575856777609,-0.202365832911261,-0.202365832911261,-0.0148852213211231
"miR34",0.122509400079285,0.146087441162782,-0.143264673925392,0.201945719791308,-0.200575856777609,-0.200575856777609,-0.0118015208805945
