"","SNAIL","Ecadherin","ZEB","KEAP1","miR200","NRF2","miR34"
"SNAIL",0.580763094610856,0.231149014303361,-0.235556777771527,0.180315085020522,-0.183835371416704,-0.205795257814229,-0.451076010100063
"KEAP1",0.644598308202759,0.217926638681422,-0.225364655210348,0.16957725049761,-0.175596667973338,-0.289904878497626,-0.425790031670592
"Ecadherin",0.414874730433573,0.103842903128617,-0.107250658710286,0.0343788951408774,-0.0370189466540776,-0.208502023850526,-0.27320022407279
"ZEB",-0.201398935204612,-0.0566267305986846,-0.0421097729620781,-0.0177465585008922,0.0188803453489647,0.0699513533969612,0.098790242740916
"miR200",-0.27235692215637,-0.0835644432212924,0.0863122351741874,-0.14395672217014,0.0460534963636888,0.194543395127151,0.150250370730855
"NRF2",-0.665001330872785,-0.225364655210348,0.231149014303361,-0.175596667973338,0.180315085020522,0.198893642542569,0.440097489813667
"miR34",-0.665001330872785,-0.225364655210348,0.231149014303361,-0.175596667973338,0.180315085020522,0.198893642542569,0.440097489813667
