"","ZEB","NRF2","SNAIL","KEAP1","miR34","miR200","Ecadherin"
"ZEB",-0.091806314923966,-0.0695963864197084,-0.0238394342739111,-0.00424230899631473,-0.0035430273604502,-0.0035430273604502,0.0096869081405872
"KEAP1",-0.0638271908921352,-0.0966868833990144,0.0220989855832065,0.0394282841922412,-0.0299137210854451,-0.0299137210854451,-0.0646536371731269
"SNAIL",-0.0626816590613936,0.00714588071192628,-0.0735679239381047,0.0291526860778347,-0.0342839509943025,-0.0342839509943025,-0.0596161774724221
"miR34",-0.0596161774724221,0.00406218027139765,0.0288999931398815,0.0299137210854451,-0.0291526860778347,-0.0291526860778347,-0.0638271908921352
"Ecadherin",-0.016676241055123,-0.0157464163279288,0.0633336059715034,-0.021400803889651,0.018374403374519,0.018374403374519,-0.0118583797155226
"miR200",0.0125454918416839,0.0272062314448101,-0.0252141178105057,-0.101403967302386,0.0114039673023858,0.0114039673023858,0.00459652226366627
"NRF2",0.0596161774724221,-0.00406218027139765,-0.0288999931398815,-0.0299137210854451,0.0291526860778347,0.0291526860778347,0.0638271908921352
