"","Ecadherin","miR200","KEAP1","miR34","SNAIL","ZEB","NRF2"
"miR200",0.552729045188051,0.427187442032028,0.513155183967512,0.416472760001559,-0.0155836026015935,-0.568626984344086,-0.618005336457113
"Ecadherin",0.490815375101089,0.320209116498439,0.307781556936301,0.359501694657195,0.00799443566306184,-0.503467157318089,-0.54986903516081
"SNAIL",0.112051851454038,0.00869415823985813,0.00690418210620658,0.11093658938667,-0.0966943298381151,-0.113375994388919,-0.0486191601781842
"KEAP1",0.107828326882189,0.00599094009707416,0.00230161970872465,0.108194411337172,0.00372888375047255,-0.1095992831986,-0.143126576568489
"NRF2",-0.1095992831986,-0.00690418210620658,-0.00599094009707416,-0.109564274350871,-0.00314114235668581,0.112051851454038,0.0461228312501372
"miR34",-0.1095992831986,-0.00690418210620658,-0.00599094009707416,-0.109564274350871,-0.00314114235668581,0.112051851454038,0.0461228312501372
"ZEB",-0.600139477515389,-0.490464778010683,-0.478597809000856,-0.448749381447433,0.0872849246017656,0.514864954198137,0.575990561919802
