"","NRF2","miR34","miR200","Ecadherin","ZEB","KEAP1","SNAIL"
"NRF2",0.126910932300405,0.144025061966637,0.144025061966637,0.104999852283532,-0.116152096614861,-0.15300527505644,-0.0965416207623599
"miR34",0.126910932300405,0.144025061966637,0.144025061966637,0.104999852283532,-0.116152096614861,-0.15300527505644,-0.0965416207623599
"miR200",0.295389108917028,0.107187083145118,0.107187083145118,0.103011493210095,-0.1002637012572,-0.193961276693505,-0.0990769335272607
"Ecadherin",0.292552070431467,0.186400477471749,0.186400477471749,0.0977304441590156,-0.0885255871280716,-0.170238210890938,-0.146477633750222
"ZEB",-0.179827791518522,-0.0887117899001975,-0.0887117899001975,-0.0802887345997285,-0.0145424163306643,0.0997473152214371,0.121258503010053
"KEAP1",-0.218296700090667,-0.15300527505644,-0.15300527505644,-0.118341056533828,0.104999852283532,0.139995566318576,0.0917557265558108
"SNAIL",-0.123533546103635,-0.152915276763774,-0.152915276763774,-0.116152096614861,0.108624434724783,0.144025061966637,-0.00770319661177631
