"","KEAP1","miR34","miR200","ZEB","NRF2","Ecadherin","SNAIL"
"SNAIL",-0.169648067256971,-0.161831838140026,-0.161831838140026,-0.100579987474112,0.122362984159216,0.109848988018281,0.290588929392494
"KEAP1",-0.171751479353734,-0.159906819159559,-0.159906819159559,-0.0983265447049997,0.0184972216486979,0.112612258990714,0.390923621219897
"ZEB",-0.0979271344045708,-0.0803156453645103,-0.0803156453645103,-0.0545818982582564,-0.041273687626162,-0.0243521702002779,0.193109862589515
"miR200",0.130882546211526,0.0471728687921707,0.0471728687921707,-0.0520238978368483,-0.0510875278134161,0.0711603060802241,-0.0154226092141994
"Ecadherin",0.177715507140868,0.188855236696567,0.188855236696567,-0.000210420396755795,0.0664664518561347,0.0130972202400774,-0.328312032635047
"NRF2",0.159906819159559,0.169648067256971,0.169648067256971,0.109848988018281,-0.135725686068174,-0.0983265447049997,-0.389832101488578
"miR34",0.159906819159559,0.169648067256971,0.169648067256971,0.109848988018281,-0.135725686068174,-0.0983265447049997,-0.389832101488578
