"","SNAIL","Ecadherin","ZEB","KEAP1","miR200","miR34","NRF2"
"miR200",0.0714323046254079,0.0784622369931066,-0.075223767905766,0.113377239415994,0.0157965942547033,-0.0157965942547033,-0.24310763404672
"Ecadherin",0.101735073099733,0.0622705072705073,-0.056120879381749,0.0370209117572744,0.0412063592782016,-0.0412063592782016,-0.224748892758709
"SNAIL",-0.0771965176636733,0.0456737797830199,-0.0423906308622871,-0.038758068106476,-0.0363714332616073,0.0363714332616073,0.00903146720546145
"KEAP1",0.0224551972796786,0.0477296516382271,-0.0410000176358658,-0.0398755334904662,-0.0354095140729905,0.0354095140729905,-0.0893450115353196
"ZEB",-0.0908660951276621,-0.0637020519328565,-0.0323236774491789,-0.0306483535855204,-0.0279272651501463,0.0279272651501463,0.145626034570154
"NRF2",-0.0242184214610388,-0.0410000176358658,0.0456737797830199,0.0354095140729905,0.038758068106476,-0.038758068106476,-0.00653513827741446
"miR34",-0.0242184214610388,-0.0410000176358658,0.0456737797830199,0.0354095140729905,0.038758068106476,-0.038758068106476,-0.00653513827741446
