"","Ecadherin","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB"
"miR200",0.626819792386191,0.393960998745986,0.393960998745986,0.208438526065372,-0.478638418100824,-0.642240785159567,-0.650764836547133
"Ecadherin",0.551018663875807,0.290779000502897,0.290779000502897,0.215742272188048,-0.278222657940116,-0.569678278751734,-0.570877653300014
"SNAIL",0.123695819631031,0.00325589368187667,0.00325589368187667,-0.0564059804361594,-0.00110792232149481,-0.0530628373427686,-0.125963187670212
"miR34",0.120132654429736,0.00110792232149481,0.00110792232149481,0.042639758293686,-0.000194680312362386,-0.0496854511459991,-0.123695819631031
"KEAP1",-0.116472678042487,-0.000194680312362386,-0.000194680312362386,-0.0422199430124098,-0.00271794104686092,0.145565600958733,0.120132654429736
"NRF2",-0.120132654429736,-0.00110792232149481,-0.00110792232149481,-0.042639758293686,0.000194680312362386,0.0496854511459991,0.123695819631031
"ZEB",-0.695871715518927,-0.452077686832754,-0.452077686832754,-0.265807595731714,0.438094315706526,0.611409861015945,0.618683569412794
