"","miR200","ZEB","Ecadherin","miR34","NRF2","KEAP1","SNAIL"
"miR34",-0.107084545117869,-0.0828490827680481,0.0692905450540268,-0.171630044847792,-0.095159876152704,0.0950601919976257,0.161808605992165
"SNAIL",-0.0965236859293251,-0.0711131857972518,0.0828490827680481,-0.178551285897912,-0.0797413739500609,0.107084545117869,0.0665799123429386
"KEAP1",-0.0950601919976257,-0.0692905450540268,0.0852291519017246,-0.180153636933028,-0.177556879898022,0.109623298793742,0.166930352423735
"Ecadherin",0.0552529367146871,-0.0415421734365834,0.0751105243962387,-0.146695314104916,-0.138228500806328,-0.0249245400630452,0.0999165361605717
"ZEB",-0.044684640404664,-0.0356949593254992,-0.0276176986115557,0.00648426883232369,0.0665909246343502,0.0777156305785113,0.0947387030935361
"miR200",0.0842024170041954,-0.0260018689377709,0.0643728208514117,0.0109781088938448,0.0830119992810348,-0.149524997649357,-0.105180483696173
"NRF2",0.107084545117869,0.0828490827680481,-0.0692905450540268,0.171630044847792,0.095159876152704,-0.0950601919976257,-0.161808605992165
