"","ZEB","Ecadherin","miR34","KEAP1","miR200","SNAIL","NRF2"
"ZEB",-0.0747128333672799,-0.0256777018957571,-0.0184946891137514,-0.0177388312150363,0.0184946891137514,0.0285428513551653,0.100737680923727
"NRF2",-0.0715752437240504,0.0715289688513063,-0.0251538134411226,-0.0243927784335122,0.0251538134411226,-0.0277840779923727,-0.0133113099993716
"miR34",-0.0715752437240504,0.0715289688513063,-0.0251538134411226,-0.0243927784335122,0.0251538134411226,-0.0277840779923727,-0.0133113099993716
"miR200",-0.0368285024571803,0.0364359607496239,0.00795963393047509,-0.0918790757469442,-0.00795963393047509,-0.0263252432368753,-0.00345812957488084
"Ecadherin",-0.00437533387843947,0.00394446823018252,0.0859747224461386,0.0866830289496801,-0.0859747224461386,0.0482756140171111,-0.196384001838675
"KEAP1",0.0715289688513063,-0.0725915426411528,0.0243927784335122,0.0273053997927355,-0.0243927784335122,0.0263567060360335,-0.0866886900006284
"SNAIL",0.0718836057773789,-0.0715752437240504,0.0256311404100963,0.0251538134411226,-0.0256311404100963,-0.0731043721557024,0.0137518386337329
