"","Ecadherin","miR34","miR200","SNAIL","ZEB","KEAP1","NRF2"
"miR200",0.0692145575390012,0.0240123860396453,0.0240123860396453,0.041408038555161,-0.0750045477254585,-0.127560773136419,0.0197599523995463
"SNAIL",0.0400793500320306,-0.0376512975298084,-0.0376512975298084,-0.0782641484610748,-0.0453577828272419,0.0333553548090446,-0.0442637549825328
"Ecadherin",0.0416782423925281,0.108139735597953,0.108139735597953,-0.0308788120770409,-0.0444592843040048,-0.109105608102783,-0.12989494974323
"NRF2",0.0468817563254133,-0.0333553548090446,-0.0333553548090446,0.0177542786531075,-0.0400793500320306,0.0403568768790599,-0.0367747681983918
"miR34",0.0468817563254133,-0.0333553548090446,-0.0333553548090446,0.0177542786531075,-0.0400793500320306,0.0403568768790599,-0.0367747681983918
"ZEB",-0.0650496744969779,-0.0419679806211851,-0.0419679806211851,-0.0406233523749775,-0.039521885346808,0.0391713063959394,0.0575630936534717
"KEAP1",-0.0403882498319068,0.0403568768790599,0.0403568768790599,-0.0180061678218732,0.0468817563254133,-0.0312306632868268,-0.0583563179439303
