"","SNAIL","ZEB","Ecadherin","KEAP1","miR200","NRF2","miR34"
"SNAIL",0.498781216994244,-0.10486653209199,0.104267946929646,0.23287746852916,-0.236159091440854,-0.150952342355078,-0.345746813921666
"KEAP1",0.578719434109612,-0.102925975620067,0.102099529339076,0.221530806000159,-0.227550223475887,-0.242169818307495,-0.334342186683514
"ZEB",-0.189608709662379,-0.0630551883612649,-0.0366461670258245,-0.0269244584031293,0.0281338310410734,0.0615483276413509,0.0823985285374617
"miR200",-0.0149519934723378,-0.0212189310967046,0.021611472804261,-0.116872299219144,0.0176787508320476,0.0645742610463423,-0.00728664944674013
"Ecadherin",0.173926262845605,0.00126182129287719,-0.00145766931481217,0.124787830575022,-0.126011269081139,-0.107848416515915,-0.0242385040818519
"NRF2",-0.590390298929091,0.104267946929646,-0.102925975620067,-0.227550223475887,0.23287746852916,0.148162327670791,0.340734880747441
"miR34",-0.590390298929091,0.104267946929646,-0.102925975620067,-0.227550223475887,0.23287746852916,0.148162327670791,0.340734880747441
