"","ZEB","SNAIL","Ecadherin","miR200","KEAP1","miR34","NRF2"
"SNAIL",-0.0841125213881553,-0.0394211701430194,0.0835139362258118,-0.0359552047890154,0.0341652286553638,-0.118766900294403,-0.0657379078642656
"NRF2",-0.0835139362258118,0.061401468882976,0.0847633577899025,-0.0341652286553638,0.0375137826888494,-0.118587902681038,-0.0626542074237369
"ZEB",-0.0703751004515721,-0.0419941359764305,-0.0291884189603277,-0.0143572297292611,0.0147351586786187,0.0304585388332779,0.0411835197390141
"Ecadherin",-0.0023053712184147,-0.0553967220885188,0.00265789765789766,0.0895552253409883,-0.0896196168413102,-0.0137175435462886,-0.108470993996678
"miR200",0.0180001645333853,0.0271615657405712,-0.0172150811182725,-0.0192340918131351,-0.0778626823804133,0.00042520126083435,0.135748560520134
"miR34",0.0835139362258118,-0.061401468882976,-0.0847633577899025,0.0341652286553638,-0.0375137826888494,0.118587902681038,0.0626542074237369
"KEAP1",0.0847633577899025,-0.0586306880265528,-0.0827562739646368,0.0375137826888494,-0.0326594137568105,0.119348937688648,-0.0339750060594091
