"","SNAIL","Ecadherin","ZEB","miR34","miR200","KEAP1","NRF2"
"miR200",0.111968901312126,0.0835899445063904,-0.0797626628577153,0.00383427119712611,0.00383427119712611,-0.101253626035836,0.014606924378498
"NRF2",0.171521488041026,0.0756459637907354,-0.0777283330642199,-0.102974820090285,-0.102974820090285,0.101452750075065,-0.0885868129420977
"miR34",0.171521488041026,0.0756459637907354,-0.0777283330642199,-0.102974820090285,-0.102974820090285,0.101452750075065,-0.0885868129420977
"SNAIL",0.0707646601371098,0.0777283330642199,-0.0764404680179656,-0.102199163765703,-0.102199163765703,0.102974820090285,-0.0860904840140508
"Ecadherin",-0.0951668530418005,0.036696398839256,-0.0339936961365533,0.122630310373834,0.122630310373834,-0.120762956864498,-0.113794372306256
"ZEB",-0.0897603464106004,-0.0637547981534408,-0.0326384938291,-0.0284124484822216,-0.0284124484822216,0.0307556079682383,0.0713963410482754
"KEAP1",-0.169926189972176,-0.0785975576514202,0.0756459637907354,0.101452750075065,0.101452750075065,-0.103200322890599,-0.0155330372451682
