"","NRF2","miR34","miR200","SNAIL","ZEB","KEAP1","Ecadherin"
"miR200",0.593548310121914,0.460080374718061,0.460080374718061,-0.220915109244515,-0.486531720080595,-0.541209406976126,-0.481232407028583
"SNAIL",0.0588338705213115,0.01314739394555,0.01314739394555,-0.076453830620637,-0.128391321573546,-2.09022987719354e-05,-0.132871640818966
"KEAP1",-0.0477526100343815,0.0123496694220596,0.0123496694220596,0.030470427740235,-0.123200192415449,0.0103687771798821,-0.130638208944375
"NRF2",-0.0548691128120604,-2.09022987719354e-05,-2.09022987719354e-05,-0.0110749617452728,0.132871640818966,0.0123496694220596,0.123200192415449
"miR34",-0.0548691128120604,-2.09022987719354e-05,-2.09022987719354e-05,-0.0110749617452728,0.132871640818966,0.0123496694220596,0.123200192415449
"Ecadherin",-0.509574329821721,-0.372135961738419,-0.372135961738419,0.234828461454411,0.405453906043968,0.367306599214272,0.39656240584812
"ZEB",-0.558116515175922,-0.52004236734376,-0.52004236734376,0.284052399972743,0.454413803107311,0.512105859407252,0.544466640231133
