"","NRF2","SNAIL","Ecadherin","ZEB","miR34","miR200","KEAP1"
"miR34",-0.0147817348126193,0.197338661694344,0.078183407233404,-0.0813763734527469,-0.110614267962671,-0.110614267962671,0.10833116293984
"SNAIL",-0.0163970064719438,0.0964502115462687,0.0813763734527469,-0.0791452833021937,-0.109003289442385,-0.109003289442385,0.110614267962671
"KEAP1",-0.117028925823855,0.196079215850515,0.0827878936560723,-0.078183407233404,-0.10833116293984,-0.10833116293984,0.111632133813626
"miR200",0.246150809145733,-0.0534332772608066,0.0612790588963066,-0.0533300893182889,0.0529848224939783,0.0529848224939783,-0.147178370881075
"ZEB",-0.146820521041837,-0.0648762357273883,-0.05941362392207,-0.0348661831075647,-0.0345546425672573,-0.0345546425672573,0.0386362752203185
"Ecadherin",0.233797648284829,-0.121033664018357,0.0342193520764949,-0.0302632220334084,0.130260650561753,0.130260650561753,-0.127363033047265
"NRF2",0.0147817348126193,-0.197338661694344,-0.078183407233404,0.0813763734527469,0.110614267962671,0.110614267962671,-0.10833116293984
