"","ZEB","miR34","Ecadherin","KEAP1","miR200","NRF2","SNAIL"
"KEAP1",-0.214709776189062,-0.0876442211331941,0.22025877264715,-0.339062983881075,0.341975605240298,-0.0753323473702164,0.37273254715158
"SNAIL",-0.214456754283748,-0.0867893735763163,0.218828239863287,-0.338322637203769,0.339277291141716,0.0236018043234264,0.268571858604788
"Ecadherin",-0.0815439665439665,0.0546407618870683,0.104066489066489,-0.172933390559091,0.184588252117365,-0.1195225828981,0.152515775201006
"ZEB",-0.0600170187101684,-0.04712088363879,-0.0149657517929329,0.00203537866287903,0.0120991640430922,0.0734322646382605,0.123252830589234
"miR200",0.0064188474836877,0.0778820063817287,0.020862801191484,-0.026217635664389,-0.0602339772388368,0.0448618471207304,-0.164589474158515
"NRF2",0.218828239863287,0.0911449821682017,-0.214709776189062,0.341975605240298,-0.338322637203769,-0.0190496751016937,-0.367946652945031
"miR34",0.218828239863287,0.0911449821682017,-0.214709776189062,0.341975605240298,-0.338322637203769,-0.0190496751016937,-0.367946652945031
