"","SNAIL","ZEB","Ecadherin","miR200","miR34","KEAP1","NRF2"
"NRF2",-0.00332596895589437,-0.0845872471036895,0.0776922910648186,0.0893141506663539,-0.0893141506663539,-0.0943369817165822,0.00326282535429598
"miR34",-0.00332596895589437,-0.0845872471036895,0.0776922910648186,0.0893141506663539,-0.0893141506663539,-0.0943369817165822,0.00326282535429598
"miR200",0.00336801500705941,-0.052849197678627,0.0712986579337791,0.0387527144730668,-0.0387527144730668,-0.125204327376293,0.0475545266915825
"ZEB",-0.0748708523660112,-0.0501732667635159,-0.0305986146975455,-0.0118849400031505,0.0118849400031505,0.0260194827091218,0.0703167403888224
"Ecadherin",0.0851829940801961,-0.0112382572009901,0.0245167530881817,0.0216893570245012,-0.0216893570245012,-0.0119662404758856,-0.131972883681572
"KEAP1",0.00458541479972308,0.0776922910648186,-0.0863109451380182,-0.0943369817165822,0.0943369817165822,0.0879292147262909,-0.113000653069652
"SNAIL",-0.095719769773951,0.0790911469767169,-0.0845872471036895,-0.093311764031509,0.093311764031509,0.0893141506663539,-0.0110454978946778
